Year;Country;value
1992;Argentina;2.556876
2007;Austria;10.29457
2004;Algeria;1.566362
2009;Albania;0.385756
1992;Botswana;1.65762
1988;Brazil;34.717125
1996;Brazil;37.892107
2000;Brazil;43.735188
2006;Brazil;43.316145
1987;Brazil;35.68824
1995;Brazil;36.83296
2001;Brazil;42.96768
2008;Bosnia and Herzegovina;8.890632
1993;Bosnia and Herzegovina;2.029209
1986;Bulgaria;38.247795
2011;Bulgaria;41.675095
1992;Bulgaria;30.699972
1991;Bulgaria;30.129336
1982;Bulgaria;35.502672
1997;Bulgaria;31.38663
1989;Bulgaria;36.64557
2005;Algeria;1.548512
1988;Bangladesh;0.184506
2005;Bangladesh;1.473632
2007;Bangladesh;1.934037
2010;Bangladesh;2.486619
2008;Bangladesh;2.025694
2002;Australia;173.896272
1995;Australia;136.525468
1994;Australia;133.480508
2009;Bangladesh;2.394054
1991;Austria;16.4385
2012;Botswana;1.289554
1984;Botswana;0.738536
1985;Botswana;0.830709
2014;Botswana;2.026442
1999;Botswana;1.933743
2007;Botswana;1.65771
1994;Belgium;34.106936
2002;Belgium;23.420628
2000;Belgium;26.43948
2008;Bhutan;0.092505
1988;Burma (Myanmar);0.195184
2010;Burma (Myanmar);1.382415
2013;Burma (Myanmar);1.198041
1981;Burma (Myanmar);0.58065
2000;Burma (Myanmar);1.10862
2004;Bulgaria;27.823866
1986;Bangladesh;0.184812
1992;Belgium;33.797157
2013;Belarus;1.143259
2006;Belarus;0.263706
2005;Belarus;0.350892
1994;Belarus;1.940193
1998;Algeria;1.36227
1987;Albania;5.24524
2006;Bulgaria;27.47812
2002;Albania;0.096807
2006;Albania;0.097173
2014;Albania;0.289662
1999;Algeria;1.403415
1982;Algeria;3.095598
1988;Algeria;3.600402
1992;Canada;85.295652
1991;Albania;2.639476
1991;Algeria;2.441178
1986;China;1574.509146
1984;China;1466.814839
1984;Belgium;40.23639
1988;Belgium;35.45544
1995;Belgium;35.53816
1999;Chile;11.397549
1986;Chile;3.605589
1985;Chile;3.508578
1991;Chile;5.748309
2005;Dominican Republic;1.013441
2011;Estonia;0.173896
2010;Estonia;0.087771
2007;Lithuania;0.766584
2014;Malaysia;52.861382
2010;Malaysia;47.151616
2012;Malaysia;50.65115
1989;Malaysia;3.821528
1999;Malaysia;6.169896
2014;Malawi;0.184682
2005;Malawi;0.091908
2004;Indonesia;74.59533
2013;Iran;1.657143
2014;Iran;1.754622
2005;Iran;4.176348
1993;Iran;3.256488
1997;Iran;3.359859
1998;Iran;3.896789
1984;Iran;2.902976
1999;Iran;3.441999
1995;Iran;3.08805
2010;Switzerland;0.353475
1982;Switzerland;1.006621
1990;Switzerland;1.033208
1983;Switzerland;0.75246
1987;Switzerland;1.13886
1989;Switzerland;0.69732
1984;Sweden;8.968038
2008;Sweden;8.406114
1992;Sweden;8.32428
1993;Tajikistan;0.463355
2013;Taiwan;132.716673
2003;Taiwan;113.618295
2009;Taiwan;123.591875
1990;Taiwan;35.887208
1995;Taiwan;54.032504
2000;Taiwan;95.431999
1984;Taiwan;21.939244
1987;Korea, North;52.689952
1982;Korea, North;65.085228
2004;Kazakhstan;104.846972
2007;Kazakhstan;121.513464
2003;Kazakhstan;95.684976
1987;Kenya;0.186732
2010;Kenya;0.552324
2003;Kenya;0.276531
1991;Kenya;0.276945
2000;Kenya;0.1843
2006;Namibia;0.091793
2008;Namibia;0.184468
1986;Morocco;3.275254
2012;Morocco;9.942372
1984;Morocco;2.247836
1980;Morocco;1.47639
1981;Nepal;0.092613
1991;Nepal;0.184516
1994;Nepal;0.184326
1997;Nepal;0.184446
1998;Israel;18.995346
1999;Israel;19.090204
1987;Ireland;6.926775
1990;Ireland;7.108332
1995;Ireland;5.808348
2014;Ireland;4.297351
1997;Israel;17.36114
1993;India;415.433376
2012;Montenegro;1.670704
2013;Montenegro;1.551368
1989;Mongolia;10.691156
2010;Mongolia;9.883652
1995;Mongolia;7.635303
2008;Mongolia;8.620834
2007;Mongolia;8.719765
2005;Mongolia;8.21304
1994;Mongolia;7.5584
1996;Mongolia;7.6896
1988;Indonesia;13.593972
1990;Indonesia;17.251311
1989;Indonesia;15.811515
1992;Indonesia;19.912824
2002;Indonesia;60.505758
2001;Indonesia;56.637195
1994;Indonesia;22.312642
1995;Indonesia;25.36985
1994;India;422.282203
1986;Mauritius;0.112098
1993;Mauritius;0.183764
1995;Mauritius;0.193168
2005;Malaysia;21.918134
2004;Malaysia;21.18139
1985;Mexico;10.147731
1989;Mexico;11.444828
2011;Mexico;36.456525
2014;Mexico;33.971184
1986;Malta;0.369512
1999;Kazakhstan;78.053495
1993;Kazakhstan;139.833
1983;Japan;195.316148
1980;Japan;181.679824
2011;Japan;360.767022
2008;Japan;368.658672
1991;Japan;247.519611
1982;Japan;199.441044
2010;Macedonia;4.803843
1993;Macedonia;4.855863
2000;Mongolia;7.802973
1990;Mongolia;9.961432
1997;Mongolia;7.504614
2002;Morocco;11.063604
2014;Morocco;14.177086
2003;Mongolia;7.90767
1983;Morocco;2.244547
2011;Malawi;0.092341
2001;Kyrgyzstan;1.128048
1998;Latvia;0.242211
2003;Latvia;0.225934
2000;Latvia;0.159202
2013;Latvia;0.418158
2008;Latvia;0.360744
2007;Latvia;0.361092
1994;Latvia;0.90972
2011;Lithuania;0.672588
1992;Lithuania;1.580208
2012;Mongolia;8.255516
2000;Moldova;0.378005
2013;Mexico;34.802001
2000;Mexico;24.457629
1995;Latvia;0.534726
1996;Moldova;2.03555
2005;Mexico;34.55319
2008;Mexico;27.80316
1986;Luxembourg;0.446056
1987;Luxembourg;0.443828
1982;Luxembourg;0.665154
1980;Luxembourg;0.891208
2014;Luxembourg;0.184252
2003;Lithuania;0.606066
2001;Lithuania;0.264942
2010;Morocco;9.105822
1989;Morocco;3.993318
1996;Morocco;6.92011
2006;Bosnia and Herzegovina;7.33192
1985;Burma (Myanmar);0.567072
1989;Burma (Myanmar);0.193292
1986;New Caledonia;0.369636
1984;New Caledonia;0.277314
2012;New Caledonia;1.012627
1995;New Caledonia;0.368808
2007;Netherlands;25.779074
1981;Netherlands;20.104524
2006;Netherlands;24.198372
1998;Netherlands;44.39479
2010;Netherlands;22.65201
2011;Mongolia;10.089252
1988;Mongolia;11.165042
2006;Lithuania;0.865836
2005;Lithuania;0.577362
2002;Lithuania;0.49222
1980;Mongolia;7.384728
2013;Kyrgyzstan;2.913132
2006;Kyrgyzstan;1.76643
2012;Latvia;0.418158
2009;Latvia;0.369672
1993;Latvia;1.10838
1992;Latvia;1.62519
2006;Laos;0.370048
2000;Laos;0.184842
2009;Laos;0.369628
2005;Burma (Myanmar);1.107264
2004;Burma (Myanmar);0.92385
2012;Bulgaria;37.929008
1994;Bulgaria;30.403026
2013;Bulgaria;32.879288
2005;Bulgaria;26.760108
1998;Bulgaria;30.50912
1988;Former Yugoslavia;145.334965
1980;Former Yugoslavia;83.613824
1980;Former U.S.S.R.;1235.833896
1991;Former U.S.S.R.;1106.941651
1981;Former U.S.S.R.;1231.48043
1982;Indonesia;0.373404
2001;Hungary;15.496524
1980;France;112.354158
2008;Iceland;0.289782
1984;France;89.460294
1981;Former Czechoslovakia;150.516824
1993;Czech Republic;92.313008
2014;Czech Republic;57.657856
1999;Croatia;0.660457
2001;Croatia;1.385216
2009;Croatia;1.514862
2002;Croatia;1.86912
2000;Croatia;1.55061
1991;Cyprus;0.079893
1983;Cuba;0.18829
1981;Hungary;28.195805
1983;Hungary;27.819891
1989;Hungary;22.723403
1991;Hungary;20.402844
1990;Hungary;20.986424
2009;Hungary;11.60833
1987;Hungary;26.15525
2010;Japan;373.302669
1997;Sweden;8.33658
1988;Sweden;9.91851
2014;Sweden;6.67644
2010;Sweden;8.02029
2009;Sweden;6.39903
1986;U.S. Territories;-
1982;U.S. Territories;-
2010;U.S. Territories;-
2002;Former Serbia and Montenegro;33.643944
2000;Former Serbia and Montenegro;32.847405
1995;Bosnia and Herzegovina;2.51277
